id,rating,name,site,email,phone,street,city,state,lat,lng
851f799f-0852-439e-b9b2-df92c43e7672,1,"Barajas, Bahena and Kano",https://federico.com,Anita_Mata71@hotmail.com,534 814 204,82247 Mariano Entrada,Mérida Alfredotown,Durango,19.4400570537131,-99.1270470974249
4e17896d-a26f-44ae-a8a4-5fbd5cde79b0,0,Hernández - Lira,http://graciela.com.mx,Brandon_Vigil@hotmail.com,570 746 998,93725 Erick Arroyo,Mateofurt,Hidalgo,19.437904276995,-99.1286576775023
c0ffd058-e773-47f1-974b-42d41cb555bf,3,Rendón - Elizondo,https://cristina.mx,Hugo.Casanova49@gmail.com,5866-337-812,5518 Monserrat Explanada,Chignahuapan María,Sinaloa,19.4360705910348,-99.1297865731994
c29082c4-4352-4517-9b4b-c45f86fc1830,2,Nájera - Chávez,https://pedro.gob.mx,Carlota31@hotmail.com,5532-129-406,79224 Mariano Travesía,Nezahualcóyotl Timoteo,Coahuila,19.4424869116657,-99.1238332599196
2b8f5a44-1e8b-44ec-9b25-0edc5b64b7e6,3,"Hurtado, Rolón and Segovia",https://elías.org,RosaMara_Figueroa@corpfolder.com,559.867.074,039 Susana Polígono,Marco Antonioland,Colima,19.433497663015,-99.1285135065721
ddb77425-2c3f-435c-8391-021b40010b0d,0,Serrato Hermanos,https://octavio.org,Yamileth_Lugo28@corpfolder.com,571.744.718,14476 Delgadillo Partida,Nevárezfort,Michoacan,19.4347042254875,-99.1263817815393
7b845a5f-94d4-4d52-bbb7-838839a180d6,1,"Saiz, Aponte and Muñoz",https://homero.com,Carolina_Merino@nearbpo.com,584212054,563 Verduzco Vía Pública,Nuevo Laredo Alejandrahaven,San Luis Potosí,19.4414878243213,-99.1274899318585
030eaf75-da6e-4748-9727-f2704f831498,2,Niño - Negrete,https://elizabeth.gob.mx,Luz_Sevilla@gmail.com,5178-668-409,3041 Gael Torrente,Querétaro Saratown,Oaxaca,19.4416814748901,-99.1265732438097
1ce4a7f8-ff21-4450-9107-f4f952f39f99,4,Kortajarena - Rangel,http://débora.gob.mx,Brandon_Quiros@gmail.com,560 092 151,59897 Esquivel Aldea,Monterrey Dulce María,Querétaro,19.440701969313,-99.1260149339613
9f98fad3-ecd6-421b-ba8c-2bd63340473d,2,Macías S.L.,http://miguel.com.mx,Jazmin_Santiago7@yahoo.com,508272671,1736 Adela Urbanización,Puerto Vallarta Dorotea,Baja California Sur,19.4369257779145,-99.1315607513514
38c965f9-74b0-4d8e-9cc2-2e457a1ebb83,3,Arreola Hermanos,https://alejandra.com.mx,Ximena_Domnquez62@yahoo.com,531.757.355,9061 Fernando Puente,Campeche Mercedes,Guanajuato,19.4349888225906,-99.1263073477967
4501fb34-eefe-4f63-90c9-a9a1272df71d,0,Gallardo - Angulo,https://josé antonio.mx,Brandon34@gmail.com,5191-333-084,7229 Villarreal Gran Subida,Campeche Daniela,Quintana Roo,19.4341320322948,-99.1326235608364
d04fd5aa-4a56-43a6-91c9-35edaaadadc9,0,Calvillo S.L.,https://martín.info,JuanPablo.Cervntez@nearbpo.com,501 812 092,38836 Emilio Partida,Rubénchester,Tabasco,19.4423931664932,-99.126576982844
a850ff07-516e-44e4-acd7-26fa0c12f4fc,1,Palomo - Cardona,http://marco antonio.org,Lizbeth.Laboy@hotmail.com,508.505.560,5588 Leticia Torrente,Tetela de Ocampo Silviafurt,Colima,19.4348698630608,-99.1280895220492
7173d827-3308-46d8-9b9e-86306ec64f78,3,Carreón e Hijos,http://dolores.org,Benjamn.Arenas27@yahoo.com,572.204.703,7124 Granado Parcela,Celaya Carlos,Puebla,19.4405543555394,-99.1268034744616
d6782cfc-29ef-4241-985b-0a6ff6cf4c64,4,Munguía S.L.,https://emmanuel.com.mx,Yaretzi_Saldivar28@yahoo.com,573.429.070,05203 Martín Lado,León Césarland,Guerrero,19.4388920409004,-99.1303342703873
dd56e1e9-bd67-41cd-baac-a8f9f47ad5c8,4,"Fuentes, Porras and Barajas",http://ariadna.com.mx,Jimena25@hotmail.com,5087-469-378,81414 Luz Ferrocarril,Paolabury,Michoacan,19.439351178762,-99.1330661270515
ac3bafbe-ea67-47cb-af99-63d945f71bf5,1,"Ledesma, Vélez and Matías",https://miranda.mx,Amalia27@gmail.com,593 520 541,7630 Collado Huerta,Irapuato Carolina,Jalisco,19.442714750418,-99.1272541693695
3e26a92c-defb-4475-8c23-450750556fb9,4,"Galarza, Griego and Orozco",https://josé luis.com.mx,JosEduardo_Narvez@nearbpo.com,5177-114-746,0785 José Luis Mercado,Tampico-Pánuco Mercedes,Guerrero,19.4353118112828,-99.1309174043316
6b7cd221-7859-4ece-8ed6-fd79283f0e65,2,"Hurtado, Armijo and Soto",https://iker.org,Patricio.Alonso52@gmail.com,5234-475-063,830 Valentín Colonia,La Laguna Ana Maríamouth,Tabasco,19.4334338750765,-99.1304472538227
d7888ed4-52f0-4be8-a210-f0d28ce0e565,0,Paredes - Montero,http://abraham.com.mx,Vanessa_Quinterodelacruz84@hotmail.com,5783-052-043,237 Regina Jardines,Pilarshire,Nuevo León,19.4392401826759,-99.1331904409434
e6c4bf95-dba4-44b5-af90-b0ab7214146e,0,Zavala - Chavarría,https://ignacio.mx,Jernimo_Armas@nearbpo.com,588078464,019 Aragón Urbanización,Carrasquillobury,Yucatán,19.4332403037143,-99.1322942363824
1d7e6cac-013e-404b-8d93-19d838ef30e1,1,"Padilla, Mata and Posada",https://gabriel.com.mx,Josefina_Cano@corpfolder.com,554 352 295,0658 Espino Conjunto,Mérida Emilio,Guerrero,19.4391502709296,-99.1241315374085
811fa2fc-f29c-4152-a821-7c2a67ab5d21,4,"Gallegos, Anguiano and Jurado",http://eduardo.com,Carla.Ramn81@corpfolder.com,5572-745-754,2179 José Plaza,Sofiaville,Durango,19.4340626239805,-99.123802582133
6e658154-be6f-409c-9c38-b53cc38c2705,3,Figueroa e Hijos,http://maría cristina.org,FernandoJavier.Batista@nearbpo.com,576.091.302,166 Gaona Ferrocarril,Tetela de Ocampo Ester,Yucatán,19.4341630436042,-99.1306978434607
40424cd9-a4ff-466f-bea9-51cacb2dd2d5,3,"Cruz, Korta hernandez and Yáñez",http://pedro.info,Jorge.Carrion@gmail.com,551 482 751,684 Barrientos Monte,Orizaba Nataliahaven,Estado de México,19.4420366147771,-99.1327560682552
ed23040e-6d68-4211-b31c-62e2f36d120a,3,Casanova - Jaramillo,http://brayan.com,Valentina_Gracia59@nearbpo.com,573.342.065,220 Ángel Gabriel Solar,Cancún Yaretzi,Durango,19.4338099754932,-99.1293445790167
